Group,Year_Quarter,Revenue
A,2015-1,15
A,2016-1,12
A,2017-1,22
A,2018-1,10
B,2015-1,12
B,2016-1,16
B,2017-1,13
B,2018-1,23
C,2015-1,11
C,2016-1,13
C,2017-1,17
C,2018-1,14
A,2015-2,16
A,2016-2,13
A,2017-2,22
A,2018-2,14
B,2015-2,13
B,2016-2,14
B,2017-2,11
B,2018-2,20
C,2015-2,12
C,2016-2,11
C,2017-2,12
C,2018-2,9
A,2015-3,19
A,2016-3,27
A,2017-3,24
A,2018-3,20
B,2015-3,25
B,2016-3,21
B,2017-3,29
B,2018-3,26
C,2015-3,22
C,2016-3,27
C,2017-3,23
C,2018-3,31
A,2015-4,17
A,2016-4,23
A,2017-4,20
A,2018-4,16
B,2015-4,18
B,2016-4,19
B,2017-4,15
B,2018-4,20
C,2015-4,16
C,2016-4,21
C,2017-4,19
C,2018-4,24
